; Type: The War Within Delves

; -------------------------------------
; Zone: Delve Trash
; -------------------------------------

; Boss: Fungarian
1217589	Споровзрыв
; Boss: Leviathan Caller
446079	Зов глубин
442422	Глубинные объятия

; Boss: Mirror Master Murkna
445860	Иллюзии утопших


; -------------------------------------
; Zone: The Spiral Weave
; -------------------------------------

; Boss: Overseer Kaskel
;449038	Пронзающие удары
;448644	Подземная дрожь
449072	Призыв трутней

; Boss: The Puppetmaster
;451913	Сфера мрачного плетения
;450197	Шустрый рывок
;450546	Паутинная эгида
;450509	Широкий замах
;450714	Зазубренные шипы
;448663	Жалящий рой


; -------------------------------------
; Zone: The Underkeep
; -------------------------------------

; Boss: Researcher Ven'kex
446832	Насыщение ядом
463408	Насыщение льдом
447187	Терзание Бездны
447143	Оплетающие сети

; Boss: Researcher Xik'vik
;447187	Терзание Бездны
;447143	Оплетающие сети

; Boss: Torque Clankfire and Sprok
1215033	Снаряды отложенного действия
1215090	Изворотливая тактика
1215084	Коктейль картеля Мрачных Минеров
1215015	Этого бить, босс?


; -------------------------------------
; Zone: The Waterworks
; -------------------------------------

; Boss: Shroomsprew
;415406	Грибошторм
;415499	Головокружение
;415495	Вязкий гриб
;415492	Грибной рывок
363194	Слизистый след
;425315	Грибовзрыв

; Boss: Waxface
450330	Бросок воска
450142	Сгорание
450128	Ядовитый газ


; -------------------------------------
; Zone: Zekvir's Lair
; -------------------------------------

; Boss: Zekvir (Tier 8)
450451	Мощный удар когтем
;450505	Ослабляющий плевок
;450492	Ужасающий рев
;450519	Сеть удильщика
450568	Призыв паутинного ужаса
453937	Инкубация...
450597	Выстрел паутиной

; Boss: Zekvir (Tier 11)
;450451	Мощный удар когтем
;450505	Ослабляющий плевок
;450492	Ужасающий рев
;450519	Сеть удильщика
450449	Регенерирующий панцирь
;450568	Призыв паутинного ужаса
;453937	Инкубация...
;450597	Выстрел паутиной
451003	Черная кровь
450872	Бесконечные шипы
450914	Насыщенный кровью панцирь
451782	Бесконечный ужас


