; Type: Shadowlands Raid

; -------------------------------------
;    Zone: Castle Nathria
; -------------------------------------

; Boss: Trash
343322	Проклятие Молдоваака
342655	Вливание нестабильной анимы
340037	Нестабильная каменная оболочка
342698	Заражение нестабильной анимой

; Boss: Sire Denathrius
328936	Неизбежность
326699	Бремя греха
326707	Очищающая боль
326851	Кровавая цена
327039y	Время кормления
327796y	Ночной охотник
327227	Приказ: разорение
327122	Разорение
327992	Запустение
328276	Марш кающихся
329906	Бойня
329951y	Пригвождение
-22131	Алый кабалист
336162	Крещендо
335873	Ненависть
329181	Нестерпимая боль
333932	Длань разрушения
330042	Приказ: резня
332585	Глумление
332619	Сокрушительная боль
332794	Смертоносная искусность
336008	Тлеющий гнев
332849	Отражение: разорение
333980	Отражение: резня
344776	Мстительный вой
338738	Сквозь зеркало
333979	Зловещее отражение


; -------------------------------------
;    Zone: Sanctum of Domination
; -------------------------------------

; Boss: The Tarragrue
346985	Превосходство
346986	Сокрушенный доспех
347269y	Цепи Вечности
347274	Аннигилирующий удар
347283y	Вой хищника
347286	Неизбывный ужас
347679	Алчущий туман
352368	Фрагмент забытых мучений
352382	Фрагмент: сила Верхнего яруса
352389	Фрагмент: отголоски Морт'регара
352398	Фрагмент: жар Кузен душ
347668	Хватка смерти
347490	Ярость эпох
347369	Взгляд Тюремщика

; Boss: The Eye of the Jailer
350828	Смертельная связь
349979	Влекущие цепи
348074	Атакующее копье
349028	Титанический взгляд смерти
350847y	Луч опустошения
350022y	Раскол души
351825	Разделенные страдания
350713	Проклятие лености
351827y	Распространяющиеся страдания
348974	Быстрая смерть
351413	Уничтожающий взгляд
350604y	Безнадежная летаргия
355232	Презрение и гнев

; Boss: The Nine
350542	Фрагменты судьбы
350555	Осколок судьбы
350202	Бесконечный удар
350342	Бесформенная масса
350339	Перекачивание здоровья
350365	Яростные крылья
350286	Песня разложения
350385	Раскатистый рефрен
350467	Зов валь'киры
350031	Вечный клинок Агаты
350184y	Могучий удар Дашлы
350158	Яркая эгида Аннгильды
350098	Пике Арадны
350109y	Скорбная панихида Бриньи
350039	Сокрушающий взор Артуры
350475	Пронзание души
351399	Неприязнь
350482	Соединение сущности
350687	Заклинание возвращения

; Boss: Soulrender Dormazain
350217	Мучение
349985	Мучительные извержения
350647y	Клеймо мучения
350422	Гибельный клинок
350615	Призыв Верного Утробе
351779	Кольцо агонии
350650	Непокорность
350411	Адский крик
354231	Кандалы души
351229	Разорванная душа

; Boss: Remnant of Ner'zhul
350676	Сфера истязания
350073	Мучение
350388	Скорбное шествие
350469y	Зловредность
350489	Остаточная зловредность
349890	Страдание
355123	Хватка злобы
351066	Раскалывание

; Boss: Painsmith Raznal
348508	Вибромолот
355568	Крестовой топор
355778	Двойная коса
355786	Почерневшая броня
352052	Шары с шипами
348456	Огненный капкан
355505y	Цепи из темной стали
355534	Перекаленная темная сталь

; Boss: Guardian of the First Ones
352385	Усиливающая связь
350455	Нестабильная энергия
352394	Сияющая энергия
352589	Оплавление
352538	Протокол очистки
350735	Схема истребления
355352	Уничтожение
350732	Раскол
352833	Дезинтеграция
352660	Создание часового
347359	Подавляющее поле
350496y	Нейтрализация угрозы

; Boss: Fatescribe Roh-Kalo
351680y	Призыв судьбы
353432	Бремя судьбы
353398	Аномальный взрыв
353603	Взгляд прорицателя
353931	Искажение судьбы
350421	Судьбоносная связь
350568y	Зов вечности
357739	Перестройка судьбы
357144	Отчаяние
353122	Худшая участь
353195	Случайная судьба
354367	Дурное предзнаменование
354964	Настройка на руну

; Boss: Kel'Thuzad
354198	Воющая вьюга
352530	Темный зов
355389	Неумолимое преследование
348071	Разлом души
348978	Изнеможение души
348428	Пронзающий вой
346459	Ледовый гнев
346530y	Уничтожение льдом
347292y	Эхо забвения
348760y	Ледяной взрыв
354289	Зловещие миазмы
352051	Некротический всплеск
352293	Мстительное разрушение
355137	Область тьмы
352379	Леденящий взрыв
355055	Ледяные ветра
355127	Гнусные ветра
352355	Неумирающий гнев
352141	Крик банши
354639	Глубокая заморозка
352348	Натиск проклятых

; Boss: Sylvanas Windrunner
347504	Ветрокрылая
347807	Зазубренная стрела
356377	Оскверняющий выстрел
347670	Кинжал тени
349458y	Цепи Господства
347704	Завеса тьмы
347609y	Стенающая стрела
352650	Пронзатель сердец следопыта
347607	Метка банши
353417	Раскол
348109	Вой банши
350857	Покров банши
355540	Гибель
352271	Блуждающие духи
351180	Рана от хлесткого удара
351117	Ошеломляющий ужас
351353	Призыв ветхих сфер
351939	Проклятие летаргии
351672	Неистовство
353929	Проклятие банши
354011	Проклятые стрелы
353965	Пронзатель сердец банши
354068	Ярость банши
353952	Крик банши
354147	Разрушение
358704y	Черная стрела
358711	Ярость
356021	Темное причастие
351591	Грязь
351562	Выброс
358185	Оружие банши
358181	Клинки банши
358434	Ножи смерти
358588	Никакой пощады
